Year,Month,DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,CRSElapsedTime,Origin,Dest,Distance,IsDepDelayed
1987,10,1,4,915,1001,PS,1451,,46.0,SFO,RNO,192.0,YES
1987,10,2,5,915,1001,PS,1451,,46.0,SFO,RNO,192.0,YES
1987,10,3,6,915,1001,PS,1451,,46.0,SFO,RNO,192.0,YES
1987,10,4,7,915,1001,PS,1451,,46.0,SFO,RNO,192.0,NO
1987,10,5,1,915,1001,PS,1451,,46.0,SFO,RNO,192.0,YES
1987,10,6,2,915,1001,PS,1451,,46.0,SFO,RNO,192.0,YES
1987,10,7,3,915,1001,PS,1451,,46.0,SFO,RNO,192.0,YES
1987,10,8,4,915,1001,PS,1451,,46.0,SFO,RNO,192.0,YES
1987,10,9,5,915,1001,PS,1451,,46.0,SFO,RNO,192.0,YES
1987,10,10,6,915,1001,PS,1451,,46.0,SFO,RNO,192.0,NO
1987,10,11,7,915,1001,PS,1451,,46.0,SFO,RNO,192.0,YES
1987,10,12,1,915,1001,PS,1451,,46.0,SFO,RNO,192.0,YES
1987,10,13,2,915,1001,PS,1451,,46.0,SFO,RNO,192.0,YES
1987,10,14,3,915,1001,PS,1451,,46.0,SFO,RNO,192.0,YES
1987,10,15,4,915,1001,PS,1451,,46.0,SFO,RNO,192.0,YES
1987,10,17,6,915,1001,PS,1451,,46.0,SFO,RNO,192.0,YES
1987,10,18,7,915,1001,PS,1451,,46.0,SFO,RNO,192.0,NO
1987,10,19,1,915,1001,PS,1451,,46.0,SFO,RNO,192.0,YES
1987,10,21,3,915,1001,PS,1451,,46.0,SFO,RNO,192.0,NO
1987,10,22,4,915,1001,PS,1451,,46.0,SFO,RNO,192.0,NO
1987,10,23,5,915,1001,PS,1451,,46.0,SFO,RNO,192.0,YES
1987,10,24,6,915,1001,PS,1451,,46.0,SFO,RNO,192.0,YES
1987,10,25,7,915,1001,PS,1451,,46.0,SFO,RNO,192.0,NO
1987,10,26,1,915,1001,PS,1451,,46.0,SFO,RNO,192.0,YES
1987,10,27,2,915,1001,PS,1451,,46.0,SFO,RNO,192.0,YES
1987,10,28,3,925,1015,PS,1451,,50.0,SFO,RNO,192.0,YES
1987,10,29,4,925,1015,PS,1451,,50.0,SFO,RNO,192.0,YES
1987,10,30,5,925,1015,PS,1451,,50.0,SFO,RNO,192.0,YES
1987,10,31,6,925,1015,PS,1451,,50.0,SFO,RNO,192.0,YES
1987,10,1,4,1505,1608,PS,1453,,63.0,BUR,OAK,325.0,YES
1987,10,2,5,1505,1608,PS,1453,,63.0,BUR,OAK,325.0,YES
